source,service,timestamp,status
discord,global-status,20200508T120001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T070001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T160001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200508T110001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200502T030001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200502T190001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200502T050001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200502T160001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200502T010001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
discord,global-status,20200502T060001,"[['API', 'Operational'], ['Gateway', 'Operational'], ['Media Proxy', 'Operational'], ['Push Notifications', 'Operational'], ['Voice', 'Operational'], ['Brazil', 'Operational'], ['EU West', 'Operational'], ['EU Central', 'Operational'], ['Hong Kong', 'Operational'], ['Japan', 'Operational'], ['Russia', 'Operational'], ['Singapore', 'Operational'], ['South Africa', 'Operational'], ['Sydney', 'Operational'], ['US Central', 'Operational'], ['US East', 'Operational'], ['US South', 'Operational'], ['US West', 'Operational'], ['Third-party', 'Operational'], ['CloudFlare', 'Operational'], ['Tax Calculation Service', 'Operational']]"
